# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.max,1717447555269000000,1717447615295000000,9
FilePageCacheLockFree.housekeeperTurnsSkipped,1717447555269000000,1717447615295000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1717447555269000000,1717447615295000000,503316480
FilePageCache.totalPageDisposalsUs,1717447555269000000,1717447615295000000,5744
FilePageCacheLockFree.totalPagesReclaimed,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1717447555269000000,1717447615295000000,0
FilePageCache.disposedBuffers,1717447555269000000,1717447615295000000,117
MappedFileStorage.totalBytesMapped,1717447555269000000,1717447615295000000,202637312
MappedFileStorage.storages,1717447555269000000,1717447615295000000,16
FilePageCacheLockFree.housekeeperTurnsDone,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1717447555269000000,1717447615295000000,0
StorageLockContext.competingThreads.avg,1717447555269000000,1717447615295000000,1.4491525423728813
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1717447555269000000,1717447615295000000,1048576
StorageLockContext.competingThreads.90P,1717447555269000000,1717447615295000000,6
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1717447555269000000,1717447615295000000,65730
DirectByteBufferAllocator.reclaimed,1717447555269000000,1717447615295000000,117
FilePageCache.pageLoadsAboveSizeThreshold,1717447555269000000,1717447615295000000,114
FilePageCache.pageFastCacheHits,1717447555269000000,1717447615295000000,768723
FilePageCacheLockFree.totalPagesReadMs,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.totalBytesWritten,1717447555269000000,1717447615295000000,0
FilePageCache.pageHits,1717447555269000000,1717447615295000000,0
FilePageCache.maxCacheSizeInBytes,1717447555269000000,1717447615295000000,502267904
FilePageCacheLockFree.housekeeperTimeSpentMs,1717447555269000000,1717447615295000000,0
FilePageCacheLockFree.totalPagesHandedOver,1717447555269000000,1717447615295000000,0
StreamlinedBlobStorage.recordsRelocated,1717447555269000000,1717447615295000000,0
FilePageCache.totalPageLoadsUs,1717447555269000000,1717447615295000000,3559998
DirectByteBufferAllocator.disposed,1717447555269000000,1717447615295000000,0
cacheStateStorage.get.counter,1717447555269000000,1717447615295000000,13
cacheStateStorage.set.counter,1717447555269000000,1717447615295000000,0
cacheStateStorage.set.duration,1717447555269000000,1717447615295000000,0
cacheStateStorage.get.duration,1717447555269000000,1717447615295000000,0
VFS.fileByIdCache.hits,1717447555269000000,1717447615295000000,0
VFS.fileByIdCache.misses,1717447555269000000,1717447615295000000,118
VFS.fileChildByName,1717447555269000000,1717447615295000000,7142
VFS.invertedFileNameIndex.requests,1717447555269000000,1717447615295000000,0
FileNameCache.queries,1717447555269000000,1717447615295000000,0
FileNameCache.totalMisses,1717447555269000000,1717447615295000000,0
IndexesFlusher.totalFlushingTimeUs,1717447615295000000,1717447675279000000,5605116
Indexes.stubs.lookupDurationMaxMs,1717447615295000000,1717447675279000000,0.0
Indexes.entries.lookupDuration90PMs,1717447615295000000,1717447675279000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1717447615295000000,1717447675279000000,0.0
Indexes.entries.lookups,1717447615295000000,1717447675279000000,0.0
Indexes.allKeys.lookupDuration90PMs,1717447615295000000,1717447675279000000,0.0
IndexesFlusher.totalFlushesRetried,1717447615295000000,1717447675279000000,0
Indexes.entries.lookupDurationMaxMs,1717447615295000000,1717447675279000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1717447615295000000,1717447675279000000,16
Indexes.allKeys.lookups,1717447615295000000,1717447675279000000,0.0
Indexes.stubs.lookupDuration90PMs,1717447615295000000,1717447675279000000,0.0
Indexes.stubs.lookups,1717447615295000000,1717447675279000000,0.0
IndexesFlusher.totalFlushes,1717447615295000000,1717447675279000000,95
Indexes.stubs.lookupDurationAvgMs,1717447615295000000,1717447675279000000,0.0
Indexes.entries.lookupDurationAvgMs,1717447615295000000,1717447675279000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1717447615295000000,1717447675279000000,0.0
writeAction.wait.ms,1717447615295000000,1717447675279000000,5
writeAction.count,1717447615295000000,1717447675279000000,1
parser.ECMAScript.6.size.bytes,1717447615295000000,1717447675279000000,912907
parser.CSS.time.ns,1717447615295000000,1717447675279000000,1891373848
parser.JavaScript.time.ns,1717447615295000000,1717447675279000000,812631823
lexer.CSS.size.bytes,1717447615295000000,1717447675279000000,5545581
writeAction.max.wait.ms,1717447615295000000,1717447675279000000,1305
parser.CSS.size.bytes,1717447615295000000,1717447675279000000,5545581
parser.TypeScript.time.ns,1717447615295000000,1717447675279000000,2098364657
lexer.TypeScript.size.bytes,1717447615295000000,1717447675279000000,5938945
parser.ECMAScript.6.time.ns,1717447615295000000,1717447675279000000,131716474
writeAction.median.wait.ms,1717447615295000000,1717447675279000000,1800
lexer.ECMAScript.6.time.ns,1717447615295000000,1717447675279000000,60287779
parser.SCSS.size.bytes,1717447615295000000,1717447675279000000,1054229
parser.TypeScript.size.bytes,1717447615295000000,1717447675279000000,5938945
lexer.SCSS.size.bytes,1717447615295000000,1717447675279000000,1054229
lexer.TypeScript.time.ns,1717447615295000000,1717447675279000000,228270160
